id	name	slug	difficulty	equipment	main_muscle
3954	اسپلیت اسکات بلغاری		متوسط	دمبل، نیمکت	quads
3999	استپ آپ		مبتدی	دمبل، نیمکت	quads
3986	اسکات اسمیت		مبتدی	ماشین / دستگاه	quads
4016	اسکات با مکث		پیشرفته	هالتر	quads
4107	اسکات بلغاری هالتر		متوسط	هالتر	quads
4109	اسکات تک پا باکس		پیشرفته	نیمکت	quads
4106	اسکات جعبه		متوسط	هالتر، نیمکت	quads
3966	اسکات فرانت		پیشرفته	هالتر	quads
4108	اسکات کوزاک		متوسط	بدون تجهیزات / وزن بدن	quads
3946	اسکات گابلت		مبتدی	دمبل، کتل‌بل	quads
3847	اسکات هالتر		متوسط	هالتر	quads
4124	اسکوات پرش		متوسط	بدون تجهیزات / وزن بدن	quads
4044	اسکیپ طناب		مبتدی	بدون تجهیزات / وزن بدن	calves
3949	اکستنشن پا		مبتدی	بدون تجهیزات / وزن بدن	hamstrings
3939	بارفیکس		متوسط	بدون تجهیزات / وزن بدن	back_lat
4090	بارفیکس آرچر		پیشرفته	بدون تجهیزات / وزن بدن	back_lat
4097	بارفیکس استرالیایی		مبتدی	بدون تجهیزات / وزن بدن	back_lat
4089	بارفیکس دست باز		متوسط	بدون تجهیزات / وزن بدن	back_lat
3991	بارفیکس کمکی		مبتدی	ماشین / دستگاه	back_lat
4017	بورپی		متوسط	بدون تجهیزات / وزن بدن	full_body
3959	پاروی صورت		مبتدی	بدون تجهیزات / وزن بدن	shoulder_posterior
4019	پالوف پرس		متوسط	کابل / سیم‌کش	abs
3933	پای آویزان		متوسط	بدون تجهیزات / وزن بدن	back_lat
4028	پای دراز خوابیده		مبتدی	بدون تجهیزات / وزن بدن	abs
3995	پرس آرنولد		متوسط	دمبل	shoulder_anterior
4125	پرس پا پا باز		مبتدی	بدون تجهیزات / وزن بدن	quads
3887	پرس پا دستگاه		مبتدی	بدون تجهیزات / وزن بدن	quads
4061	پرس پشت سر		پیشرفته	هالتر	back_lat
4052	پرس پین		پیشرفته	هالتر، نیمکت	back_lat
3994	پرس زمین هالتر		متوسط	هالتر	triceps
4001	پرس ساق		مبتدی	ماشین / دستگاه	quads
4053	پرس سرشانه اسمیت		مبتدی	بدون تجهیزات / وزن بدن	shoulders
3947	پرس سرشانه با دمبل		متوسط	دمبل، نیمکت	triceps
3938	پرس سرشانه با هالتر		متوسط	هالتر	triceps
4059	پرس سرشانه تک بازو		متوسط	دمبل	shoulders
3831	پرس سرشانه دستگاه		مبتدی	بدون تجهیزات / وزن بدن	triceps
4054	پرس سرشانه نشسته		متوسط	دمبل، نیمکت	shoulders
4050	پرس سوندر		مبتدی	دمبل	chest
4007	پرس سینه اسمیت		مبتدی	ماشین / دستگاه، نیمکت	chest
3924	پرس سینه با دمبل		متوسط	دمبل، نیمکت	triceps
3937	پرس سینه با هالتر		متوسط	هالتر، نیمکت	triceps
3985	پرس سینه دست جمع		متوسط	هالتر، نیمکت	triceps
3832	پرس سینه دستگاه		مبتدی	بدون تجهیزات / وزن بدن	triceps
4020	پرس سینه دمبل تک دست		متوسط	دمبل، نیمکت	chest
4046	پرس سینه دمبل شیب		متوسط	دمبل، نیمکت	chest
3944	پرس سینه شیب دار		متوسط	هالتر	triceps
3987	پرس سینه شیب منفی		متوسط	هالتر، نیمکت	triceps
4065	پرس سینه کابل تک بازو		متوسط	بدون تجهیزات / وزن بدن	chest
3960	پرس سینه مایل دمبل		متوسط	دمبل	triceps
4058	پرس لندماین		متوسط	هالتر	back_lat
4034	پرش پرنده		مبتدی	بدون تجهیزات / وزن بدن	full_body
4036	پرش جعبه		متوسط	نیمکت	quads
3973	پشت بازو بالای سر سیمکش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4085	پشت بازو بند کشی		مبتدی	بدون تجهیزات / وزن بدن	triceps
3930	پشت بازو پشت سر		متوسط	هالتر، نیمکت	triceps
4073	پشت بازو پشت سر دمبل		مبتدی	دمبل	triceps
3983	پشت بازو پشت سر سیمکش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4082	پشت بازو تک بازو دمبل		مبتدی	دمبل	triceps
4079	پشت بازو تک بازو سیمکش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4010	پشت بازو خرچنگ سیمکش		مبتدی	کابل / سیم‌کش	triceps
4075	پشت بازو دستگاه		مبتدی	بدون تجهیزات / وزن بدن	triceps
3932	پشت بازو دمبل		مبتدی	دمبل	triceps
